YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
2022,1,08,02,47,14,12,20,36
2022,2,03,11,42,30,10,01,39
2022,3,10,18,29,33,20,32,02
2022,4,18,25,15,21,43,39,33
2022,5,17,35,06,44,28,13,05
2022,6,35,34,06,22,46,07,08
2022,7,11,12,16,24,09,02,43
2022,8,12,40,19,22,43,21,46
2022,9,23,46,01,05,49,42,11
2022,10,20,11,23,38,47,29,12
2022,11,10,39,03,12,48,28,17
2022,12,18,22,49,30,12,40,15
2022,13,33,28,06,32,40,45,01
2022,14,28,15,29,26,20,46,12
2022,15,35,37,38,18,21,08,10
2022,16,46,04,49,08,21,40,34
2022,17,12,22,29,09,11,42,03
2022,18,20,10,48,36,43,38,30
2022,19,20,12,26,30,11,08,28
2022,20,37,47,30,36,21,25,42
2022,21,23,28,46,12,39,34,44
2022,22,19,34,37,15,08,11,25
2022,23,23,30,09,40,32,34,25
2022,24,28,07,31,01,48,16,18
2022,25,11,40,03,18,15,08,41
2022,26,42,15,44,02,46,41,40
2022,27,12,39,41,19,48,14,33
2022,28,10,05,01,34,22,30,42
2022,29,04,29,46,07,40,35,17
2022,30,45,38,46,36,27,30,34
2022,31,47,49,08,17,05,07,34
2022,32,17,42,29,25,01,46,08
2022,33,48,39,35,13,43,02,09
2022,34,32,35,27,38,01,44,24
2022,35,16,48,21,35,09,47,36
2022,36,37,26,11,17,41,24,34
2022,37,30,34,07,38,16,21,41
2022,38,24,33,27,09,39,17,48
2022,39,47,48,30,20,02,15,44
2022,40,19,13,37,29,01,26,15
2022,41,19,23,21,37,26,39,13
2022,42,09,37,30,32,40,31,25
2022,43,28,07,10,30,36,32,27
2022,44,27,04,13,22,47,43,23
2022,45,29,46,19,20,25,47,35
2022,46,05,21,30,12,38,34,03
2022,47,06,14,31,23,38,48,01
2022,48,49,16,13,08,23,21,44
2022,49,21,25,34,37,46,41,14
2022,50,46,42,09,11,04,08,47
2022,51,30,35,13,24,36,39,29
2022,52,28,46,01,25,12,36,13
