,YEAR,TIMES,N1,N2,N3,N4,N5,N6,S1
0,2022,1,2,8,12,14,20,47,36
1,2022,2,1,3,10,11,30,42,39
2,2022,3,10,18,20,29,32,33,2
3,2022,4,15,18,21,25,39,43,33
4,2022,5,6,13,17,28,35,44,5
5,2022,6,6,7,22,34,35,46,8
6,2022,7,2,9,11,12,16,24,43
7,2022,8,12,19,21,22,40,43,46
8,2022,9,1,5,23,42,46,49,11
9,2022,10,11,20,23,29,38,47,12
10,2022,11,3,10,12,28,39,48,17
11,2022,12,12,18,22,30,40,49,15
12,2022,13,6,28,32,33,40,45,1
13,2022,14,15,20,26,28,29,46,12
14,2022,15,8,18,21,35,37,38,10
15,2022,16,4,8,21,40,46,49,34
16,2022,17,9,11,12,22,29,42,3
17,2022,18,10,20,36,38,43,48,30
18,2022,19,8,11,12,20,26,30,28
19,2022,20,21,25,30,36,37,47,42
20,2022,21,12,23,28,34,39,46,44
21,2022,22,8,11,15,19,34,37,25
22,2022,23,9,23,30,32,34,40,25
23,2022,24,1,7,16,28,31,48,18
24,2022,25,3,8,11,15,18,40,41
25,2022,26,2,15,41,42,44,46,40
26,2022,27,12,14,19,39,41,48,33
27,2022,28,1,5,10,22,30,34,42
28,2022,29,4,7,29,35,40,46,17
29,2022,30,27,30,36,38,45,46,34
30,2022,31,5,7,8,17,47,49,34
31,2022,32,1,17,25,29,42,46,8
32,2022,33,2,13,35,39,43,48,9
33,2022,34,1,27,32,35,38,44,24
34,2022,35,9,16,21,35,47,48,36
35,2022,36,11,17,24,26,37,41,34
36,2022,37,7,16,21,30,34,38,41
37,2022,38,9,17,24,27,33,39,48
38,2022,39,2,15,20,30,47,48,44
39,2022,40,1,13,19,26,29,37,15
40,2022,41,19,21,23,26,37,39,13
41,2022,42,9,30,31,32,37,40,25
42,2022,43,7,10,28,30,32,36,27
43,2022,44,4,13,22,27,43,47,23
44,2022,45,19,20,25,29,46,47,35
45,2022,46,5,12,21,30,34,38,3
46,2022,47,6,14,23,31,38,48,1
47,2022,48,8,13,16,21,23,49,44
48,2022,49,21,25,34,37,41,46,14
49,2022,50,4,8,9,11,42,46,47
50,2022,51,13,24,30,35,36,39,29
51,2022,52,1,12,25,28,36,46,13
